what,kind,bundleId,bundleVersion,description,time
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1312252818593
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312252960106
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312252961793
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312252963716
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312254551278
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312254556182
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312254607384
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1312254653392
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1312254654287
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.copy",1312254706215
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.paste",1312254707100
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312254735690
activated,view,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.views.ProblemView",1312254755697
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312254760813
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312254768137
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1312254786448
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1312254789240
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312254789436
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312254825308
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312254832306
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312254862112
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312254864128
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1312254885630
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.debug",1312254889292
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312254902684
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312254906934
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312254908436
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312254911890
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1312254913926
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1312254917052
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312254921236
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312254932493
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312254934273
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312254968752
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312254975371
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1312254977558
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1312254982686
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312254985724
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312255062115
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312255062812
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312255070453
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312255079049
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312255081298
activated,view,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.PackageExplorer",1312255083079
executed,command,,,"com.android.ide.eclipse.adt.debug.launching.LaunchShortcut.run",1312255085861
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312255092445
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312255285409
activated,editor,org.eclipse.jdt.ui,3.7.0.v20110531-1200,"org.eclipse.jdt.ui.CompilationUnitEditor",1312255288719
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1312255333659
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1312255337464
